SHS,District,Location,Gender,Email,Region
J.E.A. Mills Senior High School,Ekumfi,Otuam,Mixed,jeamillsshs@ges.gov.gh,Central Region
Jukwa Senior High School,Twifo Hemang Lower Denkyira,Jukwa,Mixed,jukwashs@ges.gov.gh,Central Region
Komenda Senior High/Technical School,Komenda/Edina/Eguafo/Abirem Municipal,Komenda,Mixed,komendashst@ges.gov.gh,Central Region
Kwanyako Senior High School,Agona East,Kwanyako,Mixed,kwanyakoshs@ges.gov.gh,Central Region
Kwegyir Aggrey Senior High School,Mfantsiman Municipal,Anomabo,Mixed,kwegyiraggreyshs@ges.gov.gh,Central Region
Mando Senior High/Technical School,Ajumako/ Enyan/Esiam,Mando,Mixed,mandoshst@ges.gov.gh,Central Region
Mankessim Senior High/Technical School,Mfantsiman Municipal,Mankesim,Mixed,mankessimshst@ges.gov.gh,Central Region
"Methodist High School, Saltpond",Mfantsiman Municipal,Saltpond,Mixed,methodisthighsaltpondshs@ges.gov.gh,Central Region
Mfantsiman Girls Senior High School,Mfantsiman Municipal,Saltpond,Female,mfantsimangirlsshs@ges.gov.gh,Central Region
Mfantsipim School,Cape Coast Metro,Cape Coast,Male,mfantsipimshs@ges.gov.gh,Central Region
Mokwaa Senior High School,Twifu Atti-mokwaa,Namoo,Mixed,mokwaashs@ges.gov.gh,Central Region
Moree Community Senior High School,Abura/Asebu/Kwamankese,Moree,Mixed,moreecommshs@ges.gov.gh,Central Region
Mozano Senior High School,Gomoa West,Mozano,Mixed,mozanoshs@ges.gov.gh,Central Region
Nsaba Presby Senior High School,Agona East,Nsaba,Mixed,presbynsabashs@ges.gov.gh,Central Region
Nyakrom Senior High Tech School,Agona West Municipal,Nyakrom,Mixed,nyakromshst@ges.gov.gh,Central Region
Nyankumase Ahenkro Senior High School,Assin South,Nyankumase Ahenkro,Mixed,nyankumaseahenkroshs@ges.gov.gh,Central Region
Obiri Yeboah Senior High/Technicalnical School,Assin North Municipal,Assin Fosu,Mixed,obiriyeboahshst@ges.gov.gh,Central Region
Obrachire Senior High/Technical School,Awutu Senya,Obrakyere,Mixed,obrachireshst@ges.gov.gh,Central Region
Odoben Senior High School,Asikuma/Odoben/Brakwa,Odoben,Mixed,odobenshs@ges.gov.gh,Central Region
Odupong Community Day School,Awutu Senya,Odupong Kasoa,Mixed,odupongcommshs@ges.gov.gh,Central Region
Oguaa Senior High/Technical School,Cape Coast Metro,Cape Coast,Mixed,oguaashst@ges.gov.gh,Central Region
Ogyeedom Comm Senior High/Technical School,Gomoa Central,Gomoa Afransi,Mixed,ogyeedomcommshst@ges.gov.gh,Central Region
Potsin T.I. Ahm. Senior High School,Gomoa East,Potsin,Mixed,potsintiahmadiyyashs@ges.gov.gh,Central Region
Senya Senior High School,Awutu Senya,Senya,Mixed,senyashs@ges.gov.gh,Central Region
Siddiq Senior High School,Agona West Municipal,Agona Nyakrom,Mixed,siddiqshs@ges.gov.gh,Central Region
"St. Augustine’s College, Cape Coast",Cape Coast Metro,Cape Coast,Male,st.augustinesshs@ges.gov.gh,Central Region
St. Gregory Catholic Senior High School,Gomoa East,Buduburam,Mixed,stgregorycatholicshs@ges.gov.gh,Central Region
Swedru School of Business,Agona West Municipal,Swedru,Mixed,swedruschofbusiness@ges.gov.gh,Central Region
Swedru Senior High School,Agona East,Swedru,Mixed,swedrushs@ges.gov.gh,Central Region
Twifo Hemang Senior High/Technical School,Twifo Hemang Lower Denkyira,Heman,Mixed,twifohemangshst@ges.gov.gh,Central Region
Twifo Praso Senior High School,Twifo Ati-Morkwa,Twifo Praso,Mixed,twifoprasoshs@ges.gov.gh,Central Region
University Practice Senior High School,Cape Coast Metro,Cape Coast,Mixed,universitypracticeshs@ges.gov.gh,Central Region
"Wesley Girls Senior High School, Cape Coast",Cape Coast Metro,Cape Coast,Female,wesleygirlscapecoastshs@ges.gov.gh,Central Region
Winneba Senior High School,Effutu Municipal,Winneba,Mixed,winnebashs@ges.gov.gh,Central Region
Abetifi Presby Senior High School,Kwahu East,Abetifi,Mixed,abetifipresbyshs@ges.gov.gh,Eastern Region
Abetifi Technical Institute,Kwahu East,Abetifi,Mixed,abetifitechinst@ges.gov.gh,Eastern Region
Abuakwa State College,East Akim Municipal,Kibi,Mixed,abuakwastateshs@ges.gov.gh,Eastern Region
Aburi Girls Senior High School,Akwapim South,Aburi,Female,aburigirlsshs@ges.gov.gh,Eastern Region
Achiase Senior High School,Birim South,Achiase,Mixed,achiaseshs@ges.gov.gh,Eastern Region
Adeiso Presby Senior High School,Upper West Akim,Adeiso,Mixed,presbyadeisoshs@ges.gov.gh,Eastern Region
Adjena Senior High/Technical School,Asuogyaman,Adjena,Mixed,adjenashst@ges.gov.gh,Eastern Region
Adonten Senior High School,Akwapim South,Aburi,Mixed,adontenshs@ges.gov.gh,Eastern Region
Akim Asafo Senior High School,East Akim Municipal,Akim Asafo,Mixed,akimasafoshs@ges.gov.gh,Eastern Region
Akim Swedru Senior High School,Birim South,Akim Swedru,Mixed,akimswedrushs@ges.gov.gh,Eastern Region
Akokoaso Senior High/Technical School,Akyemansa,Akim Akokoaso,Mixed,akokoasoshs@ges.gov.gh,Eastern Region
Akro Senior High/Technical School,Lower Manya Krobo,Odumase,Mixed,akroshst@ges.gov.gh,Eastern Region
Akroso Senior High/Technical School,Birim Central Municipal,Akroso,Mixed,akrososhst@ges.gov.gh,Eastern Region
Akuse Methodist Senior High/Technical School,Lower Manya Krobo,Akuse,Mixed,akusemethodistshst@ges.gov.gh,Eastern Region
Akwamuman Senior High School,Asuogyaman,Atimpoku Akosombo,Mixed,akwamumanshs@ges.gov.gh,Eastern Region
Akwatia Technical Institute,Denkyembour,Akwatia,Mixed,akwatiatechinst@ges.gov.gh,Eastern Region
Amankwakrom Fisheries Agric. Technical Institute,Kwahu Afram Plains North,Amankwakrom,Mixed,amankwakromfisheriesagrictechinst@ges.gov.gh,Eastern Region
Amoana Praso Senior High School,Birim North,Amoana Praso,Mixed,amoanaprasoshs@ges.gov.gh,Eastern Region
Anum Apapam Community Day Senior High School,Ayensuano,Anum Apapam,Mixed,anumapapamcommshs@ges.gov.gh,Eastern Region
Anum Presby Senior High School,Asuogyaman,Anum,Mixed,presbyanumshs@ges.gov.gh,Eastern Region
Apedwa Presby Senior High School,East Akim Municipal,Apedwa,Mixed,presbyshsapedwa@ges.gov.gh,Eastern Region
Apeguso Senior High School,Asuogyaman,Apeguso,Mixed,apegusoshs@ges.gov.gh,Eastern Region
Aperade Senior High/Technical School,Birim South,Akim Aperade,Mixed,aperadeshst@ges.gov.gh,Eastern Region
Asamankese Senior High School,West Akim Municipal,Asamankese,Mixed,asamankeseshs@ges.gov.gh,Eastern Region
Asesewa Senior High School,Upper Manya Krobo,Asesewa,Mixed,asesewashs@ges.gov.gh,Eastern Region
Asuom Senior High School,Kwaebibirem,Asuom,Mixed,asuomshs@ges.gov.gh,Eastern Region
Attafuah Senior High/Technical School,Birim Central Municipal,Akim Oda,Mixed,attafuahshst@ges.gov.gh,Eastern Region
Atweaman Senior High School,Birim Central Municipal,Akim Manso,Mixed,atweamanshs@ges.gov.gh,Eastern Region
Ayirebi Senior High School,Akyemansa,Ayirebi,Mixed,ayirebishs@ges.gov.gh,Eastern Region
Benkum Senior High School,Akwapim North,Larteh Akwapim,Mixed,benkumshs@ges.gov.gh,Eastern Region
Bepong Senior High School,Kwahu South,Bepong,Mixed,bepongshs@ges.gov.gh,Eastern Region
Boso Senior High Technical School,Asuogyaman,Boso,Mixed,bososhst@ges.gov.gh,Eastern Region
Diaspora Girls’ Senior High School,Akwapim South,Obodan Nsawam,Female,diasporagirlsshs@ges.gov.gh,Eastern Region
Donkorkrom Agric Senior High School,Afram Plains (Kwahu North),Donkorkrom,Mixed,donkorkromagricshs@ges.gov.gh,Eastern Region
Fodoa Community Senior High School,Kwahu West Municipal,Fodoa Nkawkaw,Mixed,fodoacommshs@ges.gov.gh,Eastern Region
"Ghana Senior High School, Koforidua",New Juaben Municipal,Koforidua,Mixed,ghanashskoforidua@ges.gov.gh,Eastern Region
Mount Sinai Senior High School,Akwapim North,Akropong,Mixed,hmountsinaishs@ges.gov.gh,Eastern Region
"Islamic Girls Senior High School, Suhum",Suhum Municipal,Korase-Suhum,Female,islamicgirlsshs@ges.gov.gh,Eastern Region
J.G. Knol Vocational Technical Institute,Akuapem North,Adukrom Akw.,Mixed,jgknoltechvocinst@ges.gov.gh,Eastern Region
Kade Senior High/Technical School,Kwaebibirem,Kade,Mixed,kadeshst@ges.gov.gh,Eastern Region
Kibi Senior High/Technical School,East Akim Municipal,Kibi,Mixed,kibishst@ges.gov.gh,Eastern Region
Klo-agogo Senior High School,Yilo Krobo,Klo-agogo,Mixed,kloagogoshs@ges.gov.gh,Eastern Region
Koforidua Senior High/Technical School,New Juaben Municipal,Koforidua,Mixed,koforiduashst@ges.gov.gh,Eastern Region
Koforidua Technical Institute,New Juaben,Koforidua,Mixed,koforiduatechinst@ges.gov.gh,Eastern Region
Kraboa-coaltar Presby Senior High School High/Technical.,Ayensuano,Kraboa Coaltar,Mixed,presbykraboacoaltarshst@ges.gov.gh,Eastern Region
Krobo Girls Senior High School,Lower Manya Krobo,Odumase,Female,krobogirlsshs@ges.gov.gh,Eastern Region
Kwabeng Anglican Senior High/Technical School,Atiwa,Kwabeng,Mixed,kwabenganglicanshst@ges.gov.gh,Eastern Region
Kwahu Ridge Senior High School,Kwahu South,Obo-Kwahu,Mixed,kwahuridgeshs@ges.gov.gh,Eastern Region
Kwahu Tafo Senior High School,Kwahu East,Kwahu Tafo,Mixed,kwahutafoshs@ges.gov.gh,Eastern Region
Kwaobaah Nyanoa Community Senior High School,Upper West Akim,Nyanoa,Mixed,kwaobaahnyanoacommshs@ges.gov.gh,Eastern Region
Maame Krobo Community Senior High School,Afram Plains (Kwahu South),Maame Krobo,Mixed,maamekrobocommshs@ges.gov.gh,Eastern Region
Mampong/Akw Senior High/Technical School for the Deaf,Akwapim North,Mampong,Mixed,mampongakwshstforthedeaf@ges.gov.gh,Eastern Region
Mangoase Senior High School,Akwapim North,Mangoase,Mixed,mangoaseshs@ges.gov.gh,Eastern Region
Manya Krobo Senior High School,Lower Manya Krobo,New Nuaso,Mixed,manyakroboshs@ges.gov.gh,Eastern Region
Mem-Chemfre Community Senior High School,Afram Plains (Kwahu North),Mem-Chemfre,Mixed,memchemfrecommshs@ges.gov.gh,Eastern Region
"Methodist Girls Senior High School, Mamfe",Akwapim North,Mamfe,Female,methodistgirlsmamfeshs@ges.gov.gh,Eastern Region
Mpraeso Senior High School,Kwahu South,Mpraeso,Mixed,mpraesoshs@ges.gov.gh,Eastern Region
New Abirem/Afosu Senior High School,Birim North,New Abirem,Mixed,newabiremafosushs@ges.gov.gh,Eastern Region
New Juaben Senior High/comm School,New Juaben Municipal,Koforidua,Mixed,newjuabencomshs@ges.gov.gh,Eastern Region
New Nsutam Senior High/Technical School,Fanteakwa,New Nsutam,Mixed,newnsutamshst@ges.gov.gh,Eastern Region
Nifa Senior High School,Akwapim North,Adukrom,Mixed,nifashs@ges.gov.gh,Eastern Region
Nkawkaw Senior High School,Kwahu West Municipal,Nkawkaw,Mixed,nkawkawshs@ges.gov.gh,Eastern Region
Nkwatia Presby Senior High/comm School,Kwahu East,Nkwatia,Mixed,presbynkwatiacomshs@ges.gov.gh,Eastern Region
Nsawam Senior High School,Nsawam Adoagyiri,Nsawam,Mixed,nsawamshs@ges.gov.gh,Eastern Region
Oda Senior High School,Birim Central Municipal,Akim Oda,Mixed,odashs@ges.gov.gh,Eastern Region
Ofori Panin Senior High School,East Akim Municipal,Kukurantumi,Mixed,oforipaninshs@ges.gov.gh,Eastern Region
Okuapeman Senior High School,Akwapim North,Akropong,Mixed,okuapemanshs@ges.gov.gh,Eastern Region
Osino Presby Senior High/Technical School,Fanteakwa,Osino,Mixed,osinopresbyshst@ges.gov.gh,Eastern Region
Oti Boateng Senior High School,New Juaben Municipal,Ada/Koforidua,Mixed,otiboatengshs@ges.gov.gh,Eastern Region
Oyoko Methodist Senior High School,New Juaben Municipal,Oyoko,Mixed,oyokomethodistshs@ges.gov.gh,Eastern Region
"Pentecost Senior High School, Koforidua",New Juaben,Koforidua,Mixed,pentecostkoforiduashs@ges.gov.gh,Eastern Region
"Pope John Senior High & Min. Sem. School, Koforidua",New Juaben Municipal,Koforidua,Male,popejohnshs@ges.gov.gh,Eastern Region
"Presby Senior High School, Begoro",Fanteakwa,Begoro,Mixed,presbybegoroshs@ges.gov.gh,Eastern Region
"Presby Senior High School, Mampong Akwapim",Akwapim North,Mampong Akwapim,Mixed,presbymampongakwshs@ges.gov.gh,Eastern Region
"Presby Senior High School, Suhum",Suhum Municipal,Suhum,Mixed,presbysuhumshs@ges.gov.gh,Eastern Region
"Presby Senior High/Technical School, Aburi",Akwapim South,Aburi,Mixed,presbytaburishs@ges.gov.gh,Eastern Region
"Presby Senior High/Technical School, Adukrom",Akwapim North,Adukrom,Mixed,presbyadukromshst@ges.gov.gh,Eastern Region
"Presby Senior High/Technical School, Larteh",Akwapim North,Larteh Kubease,Mixed,presbylartehshs@ges.gov.gh,Eastern Region
"S.D.A Senior High School, Koforidua",New Juaben Municipal,Asokore Koforidua,Mixed,sdakoforiduashs@ges.gov.gh,Eastern Region
"S.D.A. Senior Highschool, Akim Sekyere",Atiwa,Akim Sekyere,Mixed,sdasksakimsekyereshs@ges.gov.gh,Eastern Region
"Salvation Army Senior High School, Akim Wenchi",Denkyembour,Akim Wenchi,Mixed,salvationarmywenchishs@ges.gov.gh,Eastern Region
"Saviour Senior High School, Osiem",East Akim Municipal,Osiem,Mixed,saviourshs@ges.gov.gh,Eastern Region
"St. Dominic’s Senior High/Technical School, Pepease",Kwahu East,Pepease,Mixed,stdominicsshs@ges.gov.gh,Eastern Region
St. Fidelis Senior High/Technical School,Afram Plains (Kwahu South),Tease,Mixed,stfidelisshst@ges.gov.gh,Eastern Region
"St. Francis Senior High/Technical School, Akim Oda",Birim Central Municipal,Akim Oda,Mixed,stfrancisshst@ges.gov.gh,Eastern Region
St. Joseph’s Technical Institute,Kwahu South,Kwahu-Tafo,Mixed,stjosephstechinstkwahu@ges.gov.gh,Eastern Region
"St. Martin’s Senior High School, Nsawam",Nsawam Adoagyiri,Nsawam,Mixed,stmartinsshs@ges.gov.gh,Eastern Region
St. Mary’s Vocational/Technical Institute,Kwahu Afram Plains North,Adiembra,Female,stmarytechvocinst@ges.gov.gh,Eastern Region
"St. Michael’s Senior High School, Akoase (Nkawkaw)",Birim North,"Akoase, Nkawkaw",Mixed,st.michaelsakoaseshs@ges.gov.gh,Eastern Region
"St. Paul’s Senior High School, Asakraka Kwahu",Kwahu South,Asakraka Kwahu,Mixed,stpaulskwahushs@ges.gov.gh,Eastern Region
St. Paul’s Tech. School,East Akim,Kukurantumi,Mixed,st.paulstechshs@ges.gov.gh,Eastern Region
"St. Peter’s Senior High School, Nkwatia",Kwahu East,Nkwatia,Male,stpetersshs@ges.gov.gh,Eastern Region
"St. Rose’s Senior High School, Akwatia",Denkyembour,Akwatia,Female,strosesshs@ges.gov.gh,Eastern Region
"St. Stephen’s Presby Senior High/Technical School, Asiakwa",East Akim Municipal,Asiakwa,Mixed,ststephenspresbyshst@ges.gov.gh,Eastern Region
St. Thomas Senior High/Technical School,West Akim Municipal,Asamankese,Mixed,stthomasshs@ges.gov.gh,Eastern Region
Suhum Senior High/Technical School,Suhum Municipal,Suhum,Mixed,suhumshst@ges.gov.gh,Eastern Region
Tarkrosi Community Senior High School,Denkyembour,Tarkrosi,Mixed,tarkrosicommshs@ges.gov.gh,Eastern Region
"W.b.m. Zion Senior High School, Old Tafo",East Akim Municipal,Old Tafo,Mixed,wbmzionshs@ges.gov.gh,Eastern Region
Yilo Krobo Senior High/Comm School,Yilo Krobo,Somanya,Mixed,yilokroboshscomm@ges.gov.gh,Eastern Region
Adiembra Senior High School,Sekondi Takoradi Metro,Diabene,Mixed,adiembrashs@ges.gov.gh,Western Region
Ahantaman Girls’ Senior High School,Shama Ahanta East,Sekondi-Ketan,Female,ahantamangirlsshs@ges.gov.gh,Western Region
Amenfiman Senior High School,Wassa Amenfi East,Wasa Akropong,Mixed,amenfimanshs@ges.gov.gh,Western Region
Annor Adjaye Senior High School,Jomoro,Ezilibo,Mixed,annoradjayeshs@ges.gov.gh,Western Region
Archbishop Porter Girls Senior High School,Sekondi Takoradi Metro,Sekondi,Female,archbishopportergirlshs@ges.gov.gh,Western Region
Asankrangwa Senior High School,Wassa Amenfi West,Asankragwa,Mixed,asankrangwashs@ges.gov.gh,Western Region
Asankrangwa Senior High/Technical School,Wassa Amenfi West,Asankragwa,Mixed,asankrangwashst@ges.gov.gh,Western Region
Axim Girls Senior High School,Nzema East Municipal,Axim,Female,aximgirlsshs@ges.gov.gh,Western Region
Baidoo Bonsoe Senior High/Technical School,Ahanta West,Agona Nkwanta,Mixed,baidoobonsoshst@ges.gov.gh,Western Region
Benso Senior High/Technical School,Tarkwa-Nsuaem Municipal,Benso,Mixed,bensoshst@ges.gov.gh,Western Region
Bompeh Senior High./tech School,Sekondi Takoradi Metro,Takoradi,Mixed,bompehshst@ges.gov.gh,Western Region
Bonzo-Kaku Senior High School,Ellembele,Awiebo,Mixed,bonzokakushs@ges.gov.gh,Western Region
Daboase Senior High/Technical School,Mpohor Wassa East,Daboase,Mixed,daboaseshst@ges.gov.gh,Western Region
Diabene Senior High/Technical School,Sekondi Takoradi Metro,Diabene,Mixed,diabeneshst@ges.gov.gh,Western Region
Esiama Senior High/Technical School,Ellembele,Esiama,Mixed,esiamashst@ges.gov.gh,Western Region
Fiaseman Senior High School,Tarkwa-Nsuaem Municipal,Bankyim Tarkwa*,Mixed,fiasemanshs@ges.gov.gh,Western Region
Fijai Senior High School,Sekondi Takoradi Metro,Sekondi,Mixed,fijaishs@ges.gov.gh,Western Region
Ghana Senior High/Technical School,Sekondi Takoradi Metro,Takoradi,Male,ghanashst@ges.gov.gh,Western Region
Gwiraman Communitysenior High School,Nzema East Municipal,Bamianko,Mixed,gwiramancommshs@ges.gov.gh,Western Region
Half Assini Senior High School,Jomoro,Half Assini,Mixed,halfassinishs@ges.gov.gh,Western Region
Huni Valley Senior High School,Prestea Huni Valley,Huni Valley,Mixed,hunivalleyshs@ges.gov.gh,Western Region
Kikam Technical Institute,Ellembelle,Kikam,Mixed,kikamtechinst@ges.gov.gh,Western Region
"Methodist Senior High School, Sekondi",Sekondi Takoradi Metro,Sekondi,Mixed,methodistsekondishs@ges.gov.gh,Western Region
Mpohor Senior High School,Mpohor,Mpohor,Mixed,mpohorshs@ges.gov.gh,Western Region
Nkroful Agric. Senior High School,Ellembele,Nkroful,Mixed,nkrofulagricshs@ges.gov.gh,Western Region
Nsein Senior High School,Nzema East Municipal,Nsein,Mixed,nseinshs@ges.gov.gh,Western Region
Prestea Senior High/Technical School,Prestea Huni Valley,Prestea,Mixed,presteashst@ges.gov.gh,Western Region
Sankor Community Day Senior High School,Ahanta West,Sankor,Mixed,sankorcommshs@ges.gov.gh,Western Region
Sekondi College,Sekondi Takoradi Metro,Sekondi,Mixed,sekondicollege@ges.gov.gh,Western Region
Shama Senior High School,Shama,Shama,Mixed,shamashs@ges.gov.gh,Western Region
"St. Augustine’s Senior High School, Bogoso",Prestea Huni Valley,Bogoso,Mixed,staugustinesbogososhs@ges.gov.gh,Western Region
"St. John’s Senior High School, Sekondi",Sekondi Takoradi Metro,Sekondi,Male,stjohnsshs@ges.gov.gh,Western Region
"St. Mary’s Boys’ Senior High School, Apowa",Ahanta West,Apowa,Male,stmarysboysshs@ges.gov.gh,Western Region
Takoradi Senior High School,Sekondi Takoradi Metro,Tanokrom,Mixed,takoradishs@ges.gov.gh,Western Region
Takoradi Technical Institute,Sekondi Takoradi Metro,Takoradi,Mixed,takoraditechinst@ges.gov.gh,Western Region
Tarkwa Senior High School,Tarkwa-Nsuaem Municipal,Tarkwa,Mixed,tarkwashs@ges.gov.gh,Western Region
Uthman Bin Afam Senior High School,Ellembele,Kamgbunli,Mixed,uthmanbinafamshs@ges.gov.gh,Western Region
Anbariya Senior High School,Tamale Metro,Tamale,Mixed,anbariyashs@ges.gov.gh,Northern Region
Bimbilla Senior High School,Nanumba North,Bimbilla,Mixed,bimbillashs@ges.gov.gh,Northern Region
"Business Senior High School, Tamale",Tamale Metro,Tamale,Mixed,businessshs@ges.gov.gh,Northern Region
Dabokpa Voc/Technical Institute,Tamale Metro,Tamale,Mixed,dabokpatechvocinst@ges.gov.gh,Northern Region
Dagbon State Senior High/Technical School,Yendi Municipal,Yendi,Mixed,dagbonstateshst@ges.gov.gh,Northern Region
E. P. Agric Senior High/Technical School,Tatale Sanguli,Tatale,Mixed,epagricshst@ges.gov.gh,Northern Region
"Ghana Senior High School, Tamale",Tamale Metro,Tamale,Mixed,ghanatamaleshs@ges.gov.gh,Northern Region
Gushegu Senior High School,Gushegu,Gushegu,Mixed,gushegushs@ges.gov.gh,Northern Region
"Islamic Science Senior High School, Tamale",Sagnerigu,Tamale,Mixed,islamicscienceshs@ges.gov.gh,Northern Region
Kalpohin Senior High School,Sagnerigu,Tamale,Mixed,kalpohinshs@ges.gov.gh,Northern Region
Karaga Senior High School,Karaga,Karaga,Mixed,karagashs@ges.gov.gh,Northern Region
Kasuliyili Senior High School,Tolon,Kasuliyili,Mixed,kasuliyilishs@ges.gov.gh,Northern Region
Kpandai Senior High School,Kpandi,Kpandai,Mixed,kpandaishs@ges.gov.gh,Northern Region
Kumbungu Senior High School,Kumbungu,Kumbungu,Mixed,kumbungushs@ges.gov.gh,Northern Region
Northern School Of Business,Sagnerigu,Tamale,Mixed,northernschoolofbusiness@ges.gov.gh,Northern Region
Pong-tamale Senior High School,Savelugu-Nanton,Pong-Tamale,Mixed,pongtamaleshs@ges.gov.gh,Northern Region
"Presby Senior High School, Tamale",Tamale Metro,Tamale,Mixed,presbytamaleshs@ges.gov.gh,Northern Region
Saboba E.p. Senior High School,Saboba,Saboba,Mixed,sabobaepshs@ges.gov.gh,Northern Region
Sang Community Day School,Mion,Sang,Mixed,sangcommdayshs@ges.gov.gh,Northern Region
Savelugu Senior High School,Savelugu-Nanton,Savelugu,Mixed,savelugushs@ges.gov.gh,Northern Region
"St. Charles Senior High School, Tamale",Tamale Metro,Tamale,Male,stcharlesshs@ges.gov.gh,Northern Region
St. Joseph’s Technical Institute,Saboba,Saboba,Mixed,stjosephstechinstkwahu@ges.gov.gh,Northern Region
Tamale Girls Senior High School,Tamale Metro,Tamale,Female,tamalegirlsshs@ges.gov.gh,Northern Region
Tamale Senior High School,Sagnerigu,Tamale,Mixed,tamaleshs@ges.gov.gh,Northern Region
Tamale Technical Institute,Sagnerigu,Tamale,Mixed,tamaletechinst@ges.gov.gh,Northern Region
Tolon Senior High School,Tolon,Tolon,Mixed,tolonshs@ges.gov.gh,Northern Region
Vitting Senior High/Technical.,Tamale Metro,Tamale,Mixed,vittingshst@ges.gov.gh,Northern Region
Wapuli Community Senior High School,Saboba,Wapuli,Mixed,wapulicommshs@ges.gov.gh,Northern Region
Wulensi Senior High School,Nanumba South,Wulensi,Mixed,wulensishs@ges.gov.gh,Northern Region
Yendi Senior High School,Yendi Municipal,Yendi,Mixed,yendishs@ges.gov.gh,Northern Region
Zabzugu Senior High School,Zabzugu,Zabzugu,Mixed,zabzugushs@ges.gov.gh,Northern Region
Abeaseman Community Day Senior High School,Pru,Abease,Mixed,abeasemancommshs@ges.gov.gh,Bono East Region
Abrafi Senior High School,Tano North,Techiman,Mixed,abrafishs@ges.gov.gh,Bono East Region
Amanten Senior High School,Atebubu-Amantin,Amanten,Mixed,amantenshs@ges.gov.gh,Bono East Region
Ameyaw Akumfi Senior High/Technical School,Techiman North,Aworowa,Mixed,ameyawakumfishst@ges.gov.gh,Bono East Region
Atebubu Senior High School,Atebubu-Amantin,Atebubu,Mixed,atebubushs@ges.gov.gh,Bono East Region
Bassa Community Senior High School,Sene East,Bodinka,Mixed,bassacommunityshs@ges.gov.gh,Bono East Region
Busunya Senior High School,Nkoranza North,Busunya,Mixed,busunyashs@ges.gov.gh,Bono East Region
Guakro Effah Senior High School,Techiman North,Offuman,Mixed,guakroeffahshs@ges.gov.gh,Bono East Region
Gyarko Community Day Senior High School,Techiman Municipal,Techiman,Mixed,gyarkocommshs@ges.gov.gh,Bono East Region
Jema Senior High School,Kintampo South,Jema,Mixed,jemashs@ges.gov.gh,Bono East Region
Kajaji Senior High School,Sene East,Kajaji,Mixed,kajajishs@ges.gov.gh,Bono East Region
Kesse Basahyia Senior High School,Techiman Municipal,Techiman Oforikrom,Mixed,kessebasahyiashs@ges.gov.gh,Bono East Region
Kintampo Senior High School,Kintampo North Municipal,Kintampo,Mixed,kintamposhs@ges.gov.gh,Bono East Region
Krobo Communitysenior High School,Techiman North,Krobo,Mixed,krobocommshs@ges.gov.gh,Bono East Region
Kwabre Senior High School,Nkoranza South,Akuma,Mixed,kwabreshs@ges.gov.gh,Bono East Region
Kwame Danso Senior High/Technical School,Sene West,Kwame Danso,Mixed,kwamedansoshst@ges.gov.gh,Bono East Region
Kwarteng Ankomah Senior High School,Techiman Municipal,Tanoso Techmian,Mixed,kwartengankomahshs@ges.gov.gh,Bono East Region
New Krokompe Community Senior High School,Atebubu-Amantin,New Konkrompe,Mixed,newkrokompecommshs@ges.gov.gh,Bono East Region
New Longoro Comm Senior High School (Dega),Kintampo North,New Longoro,Mixed,newlongorocommshs@ges.gov.gh,Bono East Region
Nkoranza Senior High/Technical School,Nkoranza South,Nkoranza,Mixed,nkoranzashst@ges.gov.gh,Bono East Region
Nkoranza Technical Institute.,Nkoranza,Nkoranza,Mixed,nkoranzatechinst@ges.gov.gh,Bono East Region
Osei Bonsu Senior High School,Nkoranza North,Yefri,Mixed,oseibonsushs@ges.gov.gh,Bono East Region
"Our Lady of Mount Carmel Girls Senior High School, Techiman",Techiman Municipal,Techiman,Female,ourladyofmountcarmelgirlsshs@ges.gov.gh,Bono East Region
Prang Senior High,Pru,Prang,Mixed,prangshs@ges.gov.gh,Bono East Region
"St. Francis Seminary/Senior High School, Buoyem",Techiman North,Buoyem,Male,st.francisseminaryshs@ges.gov.gh,Bono East Region
Techiman Senior High School,Techiman Municipal,Techiman,Mixed,techimanshs@ges.gov.gh,Bono East Region
Tuobodom Senior High/Technical School,Techiman North,Tuobodom,Mixed,tuobodomshst@ges.gov.gh,Bono East Region
Yeboah Asuamah Senior High School,Techiman Municipal,Nsuta,Mixed,yeboahasuamahshs@ges.gov.gh,Bono East Region
Yeji Senior High/Technical School,Pru,Yeji,Mixed,yejishst@ges.gov.gh,Bono East Region
Badu Senior High/Technical School,Tain,Badu/Wenchi,Mixed,badushst@ges.gov.gh,Bono Region
Bandaman Senior High School,Banda,Banda Ahenkro,Mixed,bandamanshs@ges.gov.gh,Bono Region
Berekum Presby Senior High School,Berekum-municipal,Berekum,Mixed,presbyberekumshs@ges.gov.gh,Bono Region
Berekum Senior High School,Berekum-municipal,Berekum,Mixed,berekumshs@ges.gov.gh,Bono Region
Chiraa Senior High School,Sunyani West,Chiraa,Mixed,chiraashs@ges.gov.gh,Bono Region
Diamono Senior High School,Jaman North,Duadaso No.2,Mixed,diamonoshs@ges.gov.gh,Bono Region
Don Bosco Vocational/Technical Institute,Sunyani West,Odumasi,Mixed,donboscotechvocinst@ges.gov.gh,Bono Region
Dormaa Senior High School,Dormaa Central Municipal,Dormaa Ahenkro,Mixed,dormaashs@ges.gov.gh,Bono Region
Drobo Senior High School,Jaman South,Drobo,Mixed,droboshs@ges.gov.gh,Bono Region
Duadaso No. 1 Senior High/Technical School,Jaman North,Duadaso,Mixed,duadasono.1shs@ges.gov.gh,Bono Region
